Sensors & Software Inc - Pavement Density Profiler,
Line Name,Line1
Date,"18/06/2020, 16:05:56"
Application Version,V1 R3 921
Unit Serial Number,E001-0000-0003
Height (cm),50
Maximum Density (g/cm^3),2.38
A,1.08
B,-0.211
C,0.0063
Collection Mode,Profile
Trigger Mode,Free
Free Run Interval (s),0.10000000000000001
Step Size (m),
Odometer Calibration,
Line Description,test1

































Trace Number,Position (m),Reflection Coefficient,K_r,Bulk Density (g/cm^3),Relative Density (%),Air Void Content (%),Time of Day (seconds after midnight),Status,Flag,Latitude (deg),Longitude (deg),Elevation (m),Easting,Northing,UTM Zone
252,,-0.094773,1.399365,0.482971,20.29,79.71,57983.577611000001,0,0,,,,,,
253,,-0.093130,1.391019,0.479129,20.13,79.87,57983.614358999999,0,0,,,,,,
254,,-0.089861,1.374590,0.471561,19.81,80.19,57983.866584000003,0,0,,,,,,
255,,-0.092674,1.388713,0.478068,20.09,79.91,57983.879927000002,0,0,,,,,,
256,,-0.090038,1.375471,0.471967,19.83,80.17,57983.903491999998,0,0,,,,,,
257,,-0.093507,1.392931,0.480010,20.17,79.83,57984.176058999998,0,0,,,,,,
258,,-0.096477,1.408081,0.486981,20.46,79.54,57984.189208999996,0,0,,,,,,
259,,-0.094504,1.397995,0.482341,20.27,79.73,57984.212936999997,0,0,,,,,,
260,,-0.097631,1.414016,0.489711,20.58,79.42,57984.480587999999,0,0,,,,,,
261,,-0.106025,1.458099,0.509950,21.43,78.57,57984.494899999998,0,0,,,,,,
262,,-0.090719,1.378882,0.473539,19.90,80.10,57984.521187999999,0,0,,,,,,
263,,-0.113953,1.501204,0.529684,22.26,77.74,57984.782714000001,0,0,,,,,,
264,,-0.118706,1.527751,0.541810,22.77,77.23,57984.795880999998,0,0,,,,,,
265,,-0.110879,1.484316,0.521959,21.93,78.07,57984.808822999999,0,0,,,,,,
266,,-0.097718,1.414467,0.489918,20.58,79.42,57984.985449,0,0,,,,,,
267,,-0.095362,1.402370,0.484354,20.35,79.65,57984.998572999997,0,0,,,,,,
268,,-0.093062,1.390676,0.478972,20.12,79.88,57985.012298000001,0,0,,,,,,
269,,-0.111484,1.487622,0.523472,21.99,78.01,57985.289962000003,0,0,,,,,,
270,,-0.118565,1.526956,0.541447,22.75,77.25,57985.303137000003,0,0,,,,,,
271,,-0.125820,1.568523,0.560392,23.55,76.45,57985.317002000003,0,0,,,,,,
272,,-0.122980,1.552096,0.552911,23.23,76.77,57985.603591999999,0,0,,,,,,
273,,-0.124097,1.558534,0.555844,23.35,76.65,57985.618452000002,0,0,,,,,,
274,,-0.121414,1.543123,0.548821,23.06,76.94,57985.642147999999,0,0,,,,,,
275,,-0.107455,1.465764,0.513463,21.57,78.43,57985.900655999998,0,0,,,,,,
276,,-0.091244,1.381511,0.474750,19.95,80.05,57985.913826000004,0,0,,,,,,
277,,-0.089123,1.370910,0.469864,19.74,80.26,57985.932665,0,0,,,,,,
278,,-0.094465,1.397797,0.482250,20.26,79.74,57986.202722000002,0,0,,,,,,
279,,-0.090972,1.380146,0.474121,19.92,80.08,57986.216033999997,0,0,,,,,,
280,,-0.095197,1.401525,0.483966,20.33,79.67,57986.229254999998,0,0,,,,,,
281,,-0.095338,1.402247,0.484298,20.35,79.65,57986.505603999998,0,0,,,,,,
282,,-0.093777,1.394299,0.480640,20.19,79.81,57986.519058999998,0,0,,,,,,
283,,-0.093903,1.394941,0.480935,20.21,79.79,57986.532418000003,0,0,,,,,,
284,,-0.092578,1.388230,0.477845,20.08,79.92,57986.813087000002,0,0,,,,,,
285,,-0.092257,1.386612,0.477100,20.05,79.95,57986.826630000003,0,0,,,,,,
286,,-0.090924,1.379907,0.474011,19.92,80.08,57986.839968,0,0,,,,,,
287,,-0.090331,1.376939,0.472643,19.86,80.14,57987.116595,0,0,,,,,,
288,,-0.089089,1.370744,0.469787,19.74,80.26,57987.130624999998,0,0,,,,,,
289,,-0.090048,1.375525,0.471992,19.83,80.17,57987.419078999999,0,0,,,,,,
290,,-0.091433,1.382461,0.475188,19.97,80.03,57987.432233,0,0,,,,,,
291,,-0.090232,1.376445,0.472416,19.85,80.15,57987.445674000002,0,0,,,,,,
292,,-0.089617,1.373374,0.471000,19.79,80.21,57987.721372,0,0,,,,,,
